id,name,tag,lon,lat,culture,religion,trade_goods,development
1,1-Uppland,SWE,16.848286974219803,59.47942775245878,swedish,catholic,grain,4
10,10-Jamtland,SWE,13.336316936488174,63.28848839188712,norwegian,catholic,fur,4
100,100 - Friesland,NLD,5.142045454545439,52.70940597216335,frisian,catholic,livestock,7
1000,1000 - Cree,CAN,-79.01335227272727,48.20296322070622,cree,totemism,unknown,3
1001,1001 - Sault,USA,-83.67264512595838,43.59879188690509,anishinabe,totemism,unknown,3
1002,1002 - Abitbi,CAN,-79.01069518716578,45.4930489272335,algonquin,totemism,unknown,3
1003,1003 - Moose Cree,CAN,-81.95265151515152,47.86384720578706,cree,totemism,unknown,3
1004,1004 - Attawapiskat,CAN,-83.77257160647572,50.19359234204041,cree,totemism,unknown,3
1005,1005 - Swampy Cree,CAN,-93.23957292707293,52.73712623157067,cree,totemism,unknown,3
1006,1006 - Chipewyan,CAN,-95.92766222293606,54.21937786213685,inuit,totemism,unknown,3
1007,1007 - Ojibwa,USA,-90.5965909090909,45.63574353451021,anishinabe,totemism,unknown,3
1008,1008 - Winnipeg,USA,-96.64535984848486,46.27251115438478,bungi,totemism,unknown,3
1009,1009 - Atikaki,USA,-96.63859577922078,48.835418119622666,bungi,totemism,unknown,3
101,101 - Genoa,ITA,8.373579545454561,44.209816402773434,ligurian,catholic,paper,3
1010,1010 - Manitoba,USA,-98.72602168473729,47.59875818066398,chipewyan,totemism,unknown,3
1011,1011 - Woods Cree,CAN,-100.7337507237985,49.22566456029308,plains_cree,totemism,unknown,3
1012,1012 - Satsuma,JPN,129.64772727272725,31.661870983903768,kyushuan,shinto,iron,3
1013,1013 - Cheongju,SKR,126.01076555023928,36.435116534083924,korean,confucianism,grain,7
1014,1014 - Bungo,JPN,130.48295454545456,33.08776497168039,kyushuan,shinto,tropical_wood,3
1015,1015 - Okinawa,JPN,127.39346590909093,27.372241313821746,kyushuan,animism,chinaware,3
1016,1016 - Ha Tinh,VNM,104.78160511363637,19.171939032842936,vietnamese,mahayana,fish,7
1017,1017 - Suo,JPN,130.65340909090907,34.26592006002787,japanese,shinto,silk,3
1018,1018 - Izumo,JPN,132.21946022727275,35.27087517731143,japanese,shinto,iron,3
1019,1019 - Harima,JPN,133.8494318181818,34.979789559231996,japanese,shinto,grain,3
102,102 - Nice,FRA,6.5340909090909065,43.58928961534676,ligurian,catholic,fish,3
1020,1020 - Yamashiro,JPN,135.09297520661153,35.056812233877686,japanese,shinto,silk,3
1021,1021 - Settsu,JPN,134.53125,34.626388467514225,japanese,shinto,chinaware,3
1022,1022 - Indrapura,VNM,107.03936688311688,16.78592800478433,cham,hinduism,incense,7
1023,1023 - Echizen,JPN,135.17045454545456,35.731623999259654,japanese,shinto,paper,3
1024,1024 - Echigo,JPN,137.89431818181816,37.48073608763563,togoku,shinto,grain,3
1025,1025 - Dewa,JPN,139.19034090909093,38.444754634374995,togoku,shinto,grain,3
1026,1026 - Rikuzen,JPN,139.46644176136363,37.72793600597773,togoku,shinto,grain,3
1027,1027 - Hitachi,JPN,139.43956611570246,36.323392967153325,togoku,shinto,fish,3
